"hash","market","itemlink","vendor","price","product","description","image_link","timestamp","ship_from"
"9-2e0bff759d057e28460eaa5b2cb118e5","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2787","ACAB23","50.00000000","1 gr indian Ketamin","Very Strong Ketamin from India be careful i dont send to usa and Australia sorry only with FE and for your own risk","http://n6tzonxy7sod7eqt.onion/image?item=2787","1399918210","Austria",
"9-b4a721cfb62f5d19ec61575114d8a2d1","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2777","atheist666","0.25000000","Get Yer Bitcoins Here My BTC for your Reloads","Hi I enthusiastically help my brothers and sisters out there by procuring Bitoin for you if you ever need them in a pinch I trade my Bitcoins for your Vanilla Greendot MoneyPak Reloadit and Netspend reload paks Just go pick one up at your favorite Rite Aid CVS Walgreens 7 11 or local chain grocery store and add funds with the cashier Do NOT use Wal Mart for this When you get back to your computer notify me by buying a listing and sending me your secret reload code from the back of your reload pak along with your Bitcoin wallet address Once we make contact the transaction just takes minutes I m fast thorough friendly and look forward to serving you My commission rate is 15 so if you give me a Reload Pak with 500 on it you will get back 425 in Bitcoins PM me if you have any questions Check out my 100 Feedback rating at Evolution Market http k5zq47j6wd3wdvjq onion user listings 9633 Thanks for stopping by and I look forward to working with you Atheist666","http://n6tzonxy7sod7eqt.onion/image?item=2777","1399572372","United States",
"9-3fc2c60b5782f641f76bcefc39fb2392","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2825","bcdirect","225.00000000","1oz Vintage 2006 AAA Greenhouse BC Bud","Popular medicinal strain grown organically Lots of flavor and with a strong long lasting high An indica dominant Indica sativa hybrid with pronounced sativa elements Popular medicinal strain It has a sweet citrusy smell and hits users quickly with an energizing happy high Good for daytime use Greenhouse Organic 29 grams","http://n6tzonxy7sod7eqt.onion/image?item=2825","1401051987","Canada",
"9-b030afbb3a8af8fb0759241c97466ee4","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2824","bcdirect","360.00000000","1 8oz AAA Critical Plus BC Bud Greenhouse","Organic greenhouse BC Bud winner of the 1st High Life Cup in Barcelona One of Dinafem s flagship varieties it won the 1st High Life Cup in Barcelona Intense fruity and skunky aroma with great aftertaste This indica dominant looks like a sativa with fluffy buds and a strong body and mind stone Organically grown in a greenhouse 50 grams","http://n6tzonxy7sod7eqt.onion/image?item=2824","1401051986","Canada",
"9-46f76a4bda9a9579eab38a8f6eabcda1","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2823","bcdirect","200.00000000","1oz AAA Critical Plus BC Bud Greenhouse","Organic greenhouse BC Bud winner of the 1st High Life Cup in Barcelona One of Dinafem s flagship varieties it won the 1st High Life Cup in Barcelona Intense fruity and skunky aroma with great aftertaste This indica dominant looks like a sativa with fluffy buds and a strong body and mind stone Organically grown in a greenhouse 29 grams","http://n6tzonxy7sod7eqt.onion/image?item=2823","1401051986","Canada",
"9-0172d289da48c48de8c5ebf3de9f7ee1","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2822","bcdirect","200.00000000","1 8oz Grade A Indoor Bud Shake","Grade A Indoor Bud Shake Just as it implies a mix of smaller buds and shake from our other indoor products Mostly crystalized buds and leaf flower parts some thc sand may contain some stock although we try to pick out most large stems A fine smelling crystal crumble Strains vary and sometimes are mixed Good to smoke or cook with 50 grams","http://n6tzonxy7sod7eqt.onion/image?item=2822","1401051986","Canada",
"9-aee92f16efd522b9326c25cc3237ac15","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2820","bcdirect","400.00000000","1 8oz AAA Bubba Kush Indoor BC Bud","Indoor AAA Organic BC Bud A sweet earthy strain that is an indica dominant hybrid Bubba Kush is a cross between Bubble Gum and Kush It has an intense and relaxing high that starts in your head and moves down into your body Dense nugs foresty kush smell good strain for after work 50 grams","http://n6tzonxy7sod7eqt.onion/image?item=2820","1401051986","Canada",
"9-56cb94cb34617aeadff1e79b53f38354","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2821","bcdirect","130.00000000","1oz Grade A Indoor Bud Shake","Grade A Indoor Bud Shake Just as it implies a mix of smaller buds and shake from our other indoor products Mostly crystalized buds and leaf flower parts some thc sand may contain some stock although we try to pick out most large stems A fine smelling crystal crumble Strains vary and sometimes are mixed Good to smoke or cook with 29 grams","http://n6tzonxy7sod7eqt.onion/image?item=2821","1401051986","Canada",
"9-d53697441ef12a45422f6660202f9840","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2818","bcdirect","225.00000000","1oz Grade A Hash","Grade A Hash Great high strong but smooth Rich taste Medium Soft preformed pucks It is dark brown on the exterior and medium brown blond on the inside when broken or torn apart It s medium hard to start with and softens more in the fingers or against heat 29 grams","http://n6tzonxy7sod7eqt.onion/image?item=2818","1401051986","Canada",
"9-28acfe2da49d2b9a7f177458256f2540","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2819","bcdirect","225.00000000","1oz AAA Bubba Kush Indoor BC Bud","Indoor AAA Organic BC Bud A sweet earthy strain that is an indica dominant hybrid Bubba Kush is a cross between Bubble Gum and Kush It has an intense and relaxing high that starts in your head and moves down into your body Dense nugs foresty kush smell good strain for after work 29 grams","http://n6tzonxy7sod7eqt.onion/image?item=2819","1401051986","Canada",
"9-7f141cf8e7136ce8701dc6636c2a6fe4","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2758","BruceWillix","52.00000000","5g CHOCOLATE FONDUE Specific Outdoor Weed Top Quality","CHOCOLATE FONDUE Specific Outdoor WEED Sativa Indica Name CHOCOLATE FONDUE Grade A TOP QUALITY Genetics Chocolope and Exodus Cheese THC Content High 21 Very clean tasty potent high quality weed No big leaves and crap only fine selected buds full of sticky resin crystals The smell and taste is sweet and spicey the effect is powerful and stoney Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2758","1399167706","Hungary",
"9-b0bef4c9a6e50d43880191492d4fc827","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2760","BruceWillix","90.00000000","10g CHOCOLATE FONDUE Specific Outdoor Weed Top Quality","CHOCOLATE FONDUE Specific Outdoor WEED Sativa Indica Name CHOCOLATE FONDUE Grade A TOP QUALITY Genetics Chocolope and Exodus Cheese THC Content High 21 Very clean tasty potent high quality weed No big leaves and crap only fine selected buds full of sticky resin crystals The smell and taste is sweet and spicey the effect is powerful and stoney Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2760","1399167706","Hungary",
"9-566a9968b43628588e76be5a85a0f9e8","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2761","BruceWillix","215.00000000","25g CHOCOLATE FONDUE Specific Outdoor Weed Top Quality","CHOCOLATE FONDUE Specific Outdoor WEED Sativa Indica Name CHOCOLATE FONDUE Grade A TOP QUALITY Genetics Chocolope and Exodus Cheese THC Content High 21 Very clean tasty potent high quality weed No big leaves and crap only fine selected buds full of sticky resin crystals The smell and taste is sweet and spicey the effect is powerful and stoney Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2761","1399167706","Hungary",
"9-2b6921f2c64dee16ba21ebf17f3c2c92","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2762","BruceWillix","34.00000000","1g MEPHEDRONE 4 MMC microcrystal with little rocks FAMOUS and RARE Top Quality","MEPHEDRONE 4 MMC Top Quality Microcrystal with little rocks Purity 99 8 Famous and very rare product Limited Quantity Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2762","1399167706","Hungary",
"9-f804d21145597e42851fa736e221da3f","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2763","BruceWillix","60.00000000","2g MEPHEDRONE 4 MMC microcrystal with little rocks FAMOUS and RARE Top Quality","MEPHEDRONE 4 MMC Top Quality Microcrystal with little rocks Purity 99 8 Famous and very rare product Limited Quantity Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2763","1399167706","Hungary",
"9-98d8a23fd60826a2a474c5b4f5811707","1776","http://n6tzonxy7sod7eqt.onion/Viewitem?itemid=2764","BruceWillix","84.00000000","3g MEPHEDRONE 4 MMC microcrystal with little rocks FAMOUS and RARE Top Quality","MEPHEDRONE 4 MMC Top Quality Microcrystal with little rocks Purity 99 8 Famous and very rare product Limited Quantity Discreet and safe Ninja stealth packaging and shipping Smell proof guaranteed You get exactly what you see on the picture Photo is taken from the original product","http://n6tzonxy7sod7eqt.onion/image?item=2764","1399167706","Hungary",
